location,typelandgebruik,voorkomen,area
EN000,akkerland,,57332.4157475805
EN000,"basaltblokken, steenglooiing",,3683.23991736276
EN000,fruitkwekerij,,143.759848631644
EN000,grasland,,55756.5354500155
EN004,akkerland,,38718.2097821317
EN004,"basaltblokken, steenglooiing",,5441.31878143189
EN004,"bos: loofbos",,5953.98464871706
EN004,grasland,,68735.4272595752
EN008,akkerland,,45583.3666160702
EN008,"basaltblokken, steenglooiing",,5868.84801054135
EN008,grasland,,68332.1683091117
EN018,"basaltblokken, steenglooiing",,10496.3301458554
EN018,"bos: loofbos",,1713.49950026174
EN018,grasland,,36516.925011513
EN018,overig,,29909.4903736102
EN018,zand,,4048.9218424831
EN024,"basaltblokken, steenglooiing",,8297.82724681898
EN024,"bos: loofbos",,739.597904886625
EN024,grasland,,60716.4189902791
EN024,overig,,9282.61111227402
EN030,akkerland,,30850.7269840243
EN030,"basaltblokken, steenglooiing",,8402.27835545187
EN030,"bos: loofbos",,2320.21375301106
EN030,grasland,,18829.5495563813
EN030,overig,,22089.7654154884
EN030,zand,,3457.73039471732
EN049,"bos: loofbos",,14696.7142106295
EN049,"bos: loofbos","dras, moerassig",12055.2206399892
EN049,grasland,,51666.161440853
EN049,grasland,"dras, moerassig",11456.1007103263
EN049,grasland,"met riet",6938.69010569457
EN049,overig,,90.4730278082966
EN054,"bos: loofbos",,13660.9948922803
EN054,"bos: loofbos","dras, moerassig",11325.5479041989
EN054,grasland,,71808.2316294298
EN054,grasland,"dras, moerassig",8047.46161234469
EN054,grasland,"met riet|dras, moerassig",323.467917419298
EN054,overig,,6678.55589908795
EN060,"basaltblokken, steenglooiing",,774.528974115856
EN060,"bos: loofbos",,9499.75458070181
EN060,grasland,,78043.4390406331
EN060,overig,,22274.0480720719
EN060,zand,,112.617358072781
EN067,"bos: loofbos",,4811.85330161351
EN067,grasland,,85250.6729483079
EN067,overig,,14489.3387057722
EN067,zand,,773.65506362008
EN071,"bos: loofbos",,5380.05355662766
EN071,grasland,,72305.2841566438
EN071,grasland,"met riet",32476.2596998525
EN071,grasland,"met riet|dras, moerassig",4838.45264907625
EN071,overig,,886.61540588531
EN077,"bos: loofbos",,15028.2983138705
EN077,grasland,,35585.3177041029
EN077,grasland,"met riet",925.513007278745
EN077,grasland,"met riet|dras, moerassig",47696.3642450585
EN077,overig,,8522.64583731184
