Dijkpaal locatie,x-coord,y-coord
EN000,196188,429114
EN004,195832,429082
EN008,195444,429079
EN018,194474,429478
EN024,194029,429800
EN030,193594,430186
EN049,192039,430874
EN054,191656,431163
EN060,191086,431394
EN067,190527,431241
EN071,190452,430881
EN077,190456,430244
EN097,189206,429107
EN101,188860,428876
ME005,201077,430865
ME009,200842,431136
ME014,200343,431152
ME018,199993,431342
ME023,199513,431492
ME027,199186,431374
ME031,198885,431117
ME035,198611,430925
ME046,197630,430925
ME052,197319,430439
ME059,196840,429975
ME063,196604,429676
ME067,196394,429348
ND039,184471,430261
ND046,184011,430723
ND051,183479,430815
ND056,183117,431046
ND063,182715,431415
ND067,182328,431614
ND071,181995,431873
ND077,181411,432022
ND081,181051,432015
ND090,180241,432203
